date_added,rank,symbol,name,entry_price,sl,target_1y,target_3y,target_5y,t3_upside_pct,roe,roce,profit_gr_3y,de,promoter,peg,score,grade,status,exit_price,exit_date,actual_return,current_price,current_return_%,last_updated,peak_price,trail_sl,ma_30wk,rs_vs_nifty,crash_flag,mon_status,mon_updated
2026-05-27,1,EMMVEE,Emmvee Photovoltaic Power Ltd,295.0,236.0,368.8,767.0,920.4,212.0,51.1,44.8,393.5,0.1,80.03,0.05,12,✅ BUY,OPEN (+10.2%),,,,325.0,10.2,2026-05-30,325.3,236.0,222.1,11.8,0,HOLD,2026-05-30
2026-05-27,2,COLPAL,Colgate-Palmolive (India) Ltd,2077.0,1661.6,2596.2,3115.5,5192.5,150.0,158.0,179.0,43.4,0.02,51.0,3.02,11,✅ BUY,OPEN (-0.8%),,,,2060.0,-0.8,2026-05-30,2087.4,1661.6,2116.3,0.7,0,⚠ <30wkMA,2026-05-30
2026-05-27,3,HBLENGINE,HBL Engineering Ltd,799.0,639.2,998.8,2077.4,2492.9,212.0,45.3,58.4,102.5,0.03,59.11,0.26,13,🔥 STRONG,OPEN (+3.0%),,,,823.0,3.0,2026-05-30,822.6,639.2,810.2,4.5,0,HOLD,2026-05-30
2026-05-27,4,FORCEMOT,Force Motors Ltd,19833.0,15866.4,24791.2,51558.3,61870.0,212.0,29.2,36.1,108.4,0.0,61.63,0.23,13,🔥 STRONG,OPEN (-1.8%),,,,19473.0,-1.8,2026-05-30,19864.0,15866.4,19962.9,-0.3,0,⚠ <30wkMA,2026-05-30
2026-05-27,5,ABB,ABB India Ltd,6804.0,5443.2,8505.0,11171.0,17010.0,150.0,22.4,29.9,176.4,0.01,75.0,0.54,11,✅ BUY,OPEN (+6.6%),,,,7253.0,6.6,2026-05-30,7253.0,5443.2,5798.8,8.1,0,HOLD,2026-05-30
2026-05-27,6,WAAREEENER,Waaree Energies Ltd,3088.0,2470.4,3860.0,8027.8,9633.3,212.0,32.8,38.8,98.0,0.22,64.19,0.23,12,✅ BUY,OPEN (+1.7%),,,,3141.0,1.7,2026-05-30,3140.8,2470.4,3057.1,3.2,0,HOLD,2026-05-30
2026-05-27,7,ANANDRATHI,Anand Rathi Wealth Ltd,3587.0,2869.6,4483.8,5561.5,8967.5,150.0,47.3,59.2,32.9,0.08,43.11,2.29,13,🔥 STRONG,OPEN (-3.8%),,,,3451.0,-3.8,2026-05-30,3566.7,2869.6,3163.7,-2.3,0,HOLD,2026-05-30
2026-05-27,8,JYOTICNC,Jyoti CNC Automation Ltd,660.0,528.0,825.0,1716.2,2059.4,212.0,21.2,24.4,169.9,0.4,62.55,0.25,12,✅ BUY,OPEN (-9.7%),,,,596.0,-9.7,2026-05-30,657.0,528.0,846.4,-8.2,1,"⚠ CRASH,<30wkMA",2026-05-30
2026-05-27,9,HINDCOPPER,Hindustan Copper Ltd,556.0,444.8,695.0,1119.0,1342.8,141.5,32.9,42.5,46.0,0.03,66.14,1.18,13,🔥 STRONG,OPEN (-3.1%),,,,539.0,-3.1,2026-05-30,555.4,444.8,488.0,-1.6,0,HOLD,2026-05-30
2026-05-27,10,IGIL,International Gemmological Ins,381.0,304.8,476.2,586.1,703.4,84.6,43.0,53.6,20.6,0.1,76.55,1.4,13,🔥 STRONG,OPEN (-2.4%),,,,372.0,-2.4,2026-05-30,371.8,304.8,332.4,-0.9,0,HOLD,2026-05-30
2026-05-27,11,GLAXO,Glaxosmithkline Pharmaceutical,2282.0,1825.6,2852.5,3416.5,4099.8,79.7,48.4,65.1,19.2,0.01,75.0,1.97,12,✅ BUY,OPEN (-3.2%),,,,2210.0,-3.2,2026-05-30,2239.2,1825.6,2413.5,-1.6,0,⚠ <30wkMA,2026-05-30
2026-05-27,12,NAM-INDIA,Nippon Life India Asset Manage,1096.0,876.8,1370.0,1921.9,2306.3,110.4,34.5,43.8,28.4,0.02,71.93,1.61,13,🔥 STRONG,OPEN (+0.4%),,,,1100.0,0.4,2026-05-30,1100.2,876.8,915.9,1.9,0,HOLD,2026-05-30
2026-05-27,13,LUPIN,Lupin Ltd,2266.0,1812.8,2832.5,5890.8,7068.9,212.0,29.1,30.3,128.6,0.29,46.85,0.14,12,✅ BUY,OPEN (+0.1%),,,,2268.0,0.1,2026-05-30,2276.4,1812.8,2184.2,1.6,0,HOLD,2026-05-30
2026-05-27,14,IKS,Inventurus Knowledge Solutions,1646.0,1316.8,2057.5,3213.1,3855.8,134.3,40.3,36.9,33.3,0.34,63.72,1.17,13,🔥 STRONG,OPEN (+1.8%),,,,1676.0,1.8,2026-05-30,1675.6,1316.8,1576.3,3.3,0,HOLD,2026-05-30
2026-05-27,15,IRCTC,Indian Railway Catering & Tour,537.0,429.6,671.2,699.9,839.8,56.4,37.1,49.0,12.3,0.02,62.4,2.53,13,🔥 STRONG,OPEN (-5.0%),,,,510.0,-5.0,2026-05-30,523.2,429.6,616.3,-3.6,0,⚠ <30wkMA,2026-05-30
2026-05-27,16,NATIONALUM,National Aluminium Company Ltd,416.0,332.8,520.0,1081.6,1297.9,212.0,29.4,39.6,59.3,0.0,51.28,0.22,12,✅ BUY,OPEN (+1.9%),,,,424.0,1.9,2026-05-30,433.1,332.8,343.1,3.5,0,HOLD,2026-05-30
2026-05-27,17,JSWDULUX,JSW Dulux Ltd,2910.0,2328.0,3637.5,7564.9,9077.9,212.0,32.6,38.2,80.6,0.03,61.2,0.38,12,✅ BUY,OPEN (+8.3%),,,,3152.0,8.3,2026-05-30,3151.8,2328.0,3089.0,9.8,0,HOLD,2026-05-30
2026-05-27,18,CEMPRO,Cemindia Projects Ltd,943.0,754.4,1178.8,2451.7,2942.1,212.0,28.2,33.8,68.5,0.38,67.46,0.39,13,🔥 STRONG,OPEN (+13.6%),,,,1071.0,13.6,2026-05-30,1071.2,754.4,725.8,15.1,0,HOLD,2026-05-30
2026-05-27,19,TATAELXSI,Tata Elxsi Ltd,4336.0,3468.8,5420.0,6504.0,10840.0,150.0,39.3,60.0,42.8,0.0,43.9,6.19,11,✅ BUY,OPEN (-1.2%),,,,4285.0,-1.2,2026-05-30,4331.2,3468.8,4876.3,0.3,0,⚠ <30wkMA,2026-05-30
2026-05-27,20,ACE,Action Construction Equipment ,895.0,716.0,1118.8,1765.7,2118.8,136.7,22.9,31.7,33.9,0.0,65.42,0.76,13,🔥 STRONG,OPEN (-1.1%),,,,885.0,-1.1,2026-05-30,906.2,716.0,918.0,0.4,0,⚠ <30wkMA,2026-05-30
2026-05-30,1,EMMVEE,Emmvee Photovoltaic Power Ltd,325.0,260.0,406.2,844.6,1098.0,237.8,51.1,44.8,393.5,0.1,80.03,0.05,12,✅ BUY,OPEN (+0.0%),,,,325.0,0.0,2026-05-30,325.3,260.0,222.1,,0,HOLD,2026-05-30
2026-05-30,2,COLPAL,Colgate-Palmolive (India) Ltd,2060.0,1648.0,2575.0,3090.0,5150.0,150.0,158.0,179.0,43.4,0.02,51.0,3.0,12,✅ BUY,OPEN (+0.0%),,,,2060.0,0.0,2026-05-30,2059.9,1648.0,2116.3,,0,⚠ <30wkMA,2026-05-30
2026-05-30,3,HBLENGINE,HBL Engineering Ltd,823.0,658.4,1028.8,2139.7,2781.6,238.0,45.3,58.4,102.5,0.03,59.11,0.27,13,🔥 STRONG,OPEN (+0.0%),,,,823.0,0.0,2026-05-30,822.6,658.4,810.2,,0,HOLD,2026-05-30
2026-05-30,4,FORCEMOT,Force Motors Ltd,19473.0,15578.4,24341.2,50622.3,65809.0,237.9,29.2,36.1,108.4,0.0,61.63,0.22,13,🔥 STRONG,OPEN (+0.0%),,,,19473.0,0.0,2026-05-30,19473.0,15578.4,19962.9,,0,⚠ <30wkMA,2026-05-30
2026-05-30,5,ABB,ABB India Ltd,7253.0,5802.4,9066.2,11200.7,18132.5,150.0,22.4,29.9,176.4,0.01,75.0,0.57,11,✅ BUY,OPEN (+0.0%),,,,7253.0,0.0,2026-05-30,7253.0,5802.4,5798.8,,0,HOLD,2026-05-30
2026-05-30,6,ANANDRATHI,Anand Rathi Wealth Ltd,3451.0,2760.8,4313.8,5534.7,8627.5,150.0,47.3,59.2,32.9,0.08,43.11,2.2,13,🔥 STRONG,OPEN (+0.0%),,,,3451.0,0.0,2026-05-30,3450.7,2760.8,3163.7,,0,HOLD,2026-05-30
2026-05-30,7,WAAREEENER,Waaree Energies Ltd,3141.0,2512.8,3926.2,8165.7,10615.4,238.0,32.8,38.8,98.0,0.22,64.19,0.23,12,✅ BUY,OPEN (+0.0%),,,,3141.0,0.0,2026-05-30,3140.8,2512.8,3057.1,,0,HOLD,2026-05-30
2026-05-30,8,HINDCOPPER,Hindustan Copper Ltd,539.0,431.2,673.8,1311.8,1705.3,216.4,32.9,42.5,46.0,0.03,66.14,1.15,13,🔥 STRONG,OPEN (+0.0%),,,,539.0,0.0,2026-05-30,538.7,431.2,488.0,,0,HOLD,2026-05-30
2026-05-30,9,IGIL,International Gemmological Ins,372.0,297.6,465.0,572.4,930.0,150.0,43.0,53.6,20.6,0.1,76.55,1.37,13,🔥 STRONG,OPEN (+0.0%),,,,372.0,0.0,2026-05-30,371.8,297.6,332.4,,0,HOLD,2026-05-30
2026-05-30,10,GLAXO,Glaxosmithkline Pharmaceutical,2210.0,1768.0,2762.5,3315.0,5525.0,150.0,48.4,65.1,19.2,0.01,75.0,1.91,12,✅ BUY,OPEN (+0.0%),,,,2210.0,0.0,2026-05-30,2210.2,1768.0,2413.5,,0,⚠ <30wkMA,2026-05-30
2026-05-30,11,NAM-INDIA,Nippon Life India Asset Manage,1100.0,880.0,1375.0,1963.6,2750.0,150.0,34.5,43.8,28.4,0.02,71.93,1.62,13,🔥 STRONG,OPEN (+0.0%),,,,1100.0,0.0,2026-05-30,1100.2,880.0,915.9,,0,HOLD,2026-05-30
2026-05-30,12,LUPIN,Lupin Ltd,2268.0,1814.4,2835.0,6551.0,8516.3,275.5,29.1,30.3,128.6,0.29,46.85,0.14,12,✅ BUY,OPEN (+0.0%),,,,2268.0,0.0,2026-05-30,2267.7,1814.4,2184.2,,0,HOLD,2026-05-30
2026-05-30,13,IKS,Inventurus Knowledge Solutions,1676.0,1340.8,2095.0,3271.9,4253.5,153.8,40.3,36.9,33.3,0.34,63.72,1.2,13,🔥 STRONG,OPEN (+0.0%),,,,1676.0,0.0,2026-05-30,1675.6,1340.8,1576.3,,0,HOLD,2026-05-30
2026-05-30,14,NATIONALUM,National Aluminium Company Ltd,424.0,339.2,530.0,1645.0,2138.5,404.4,29.4,39.6,59.3,0.0,51.28,0.23,12,✅ BUY,OPEN (+0.0%),,,,424.0,0.0,2026-05-30,424.4,339.2,343.1,,0,HOLD,2026-05-30
2026-05-30,15,JSWDULUX,JSW Dulux Ltd,3152.0,2521.6,3940.0,8194.3,10652.6,238.0,32.6,38.2,80.6,0.03,61.2,0.41,12,✅ BUY,OPEN (+0.0%),,,,3152.0,0.0,2026-05-30,3151.8,2521.6,3089.0,,0,HOLD,2026-05-30
2026-05-30,16,TATAELXSI,Tata Elxsi Ltd,4285.0,3428.0,5356.2,6427.5,10712.5,150.0,39.3,60.0,42.8,0.0,43.9,6.12,11,✅ BUY,OPEN (+0.0%),,,,4285.0,0.0,2026-05-30,4285.4,3428.0,4876.3,,0,⚠ <30wkMA,2026-05-30
2026-05-30,17,CEMPRO,Cemindia Projects Ltd,1071.0,856.8,1338.8,2784.0,3619.2,237.9,28.2,33.8,68.5,0.38,67.46,0.45,13,🔥 STRONG,OPEN (+0.0%),,,,1071.0,0.0,2026-05-30,1071.2,856.8,725.8,,0,HOLD,2026-05-30
2026-05-30,18,BLS,BLS International Services Ltd,261.0,208.8,326.2,869.8,1130.7,333.2,32.7,29.3,52.5,0.17,70.39,0.3,13,🔥 STRONG,OPEN (+0.0%),,,,261.0,0.0,2026-05-30,260.9,208.8,290.8,,0,⚠ <30wkMA,2026-05-30
2026-05-30,19,NBCC,NBCC (India) Ltd,100.0,80.0,125.0,214.4,278.7,178.7,24.1,31.0,38.7,0.0,61.75,1.06,13,🔥 STRONG,OPEN (+0.0%),,,,100.0,0.0,2026-05-30,100.3,80.0,101.5,,0,⚠ <30wkMA,2026-05-30
2026-05-30,20,ACE,Action Construction Equipment ,885.0,708.0,1106.2,1746.1,2269.9,156.5,22.9,31.7,33.9,0.0,65.42,0.75,13,🔥 STRONG,OPEN (+0.0%),,,,885.0,0.0,2026-05-30,885.0,708.0,918.0,,0,⚠ <30wkMA,2026-05-30
